,stid,Datetime,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Downwelling longwave radiation,Upwelling longwave radiation,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Surface height from combined measurements,Surface height from combined measurements DELTA,Albedo,Cloud cover,Ablation,Melting Season
186309,SWC,1990-06-01 00:00:00+00:00,862.9126086956521,,,,,,,,,,,,,,,,,False,
186310,SWC,1990-06-02 00:00:00+00:00,861.3000000000001,,,,,,,,,,,,,,,,,False,
186311,SWC,1990-06-03 00:00:00+00:00,858.4020833333334,,,,,,,,,,,,,,,,,False,
186312,SWC,1990-06-04 00:00:00+00:00,861.8991666666667,,,,,,,,,,,,,,,,,False,
186313,SWC,1990-06-05 00:00:00+00:00,867.5912500000001,,,,,,1.5,137.0,,,,,,,,,,False,
186314,SWC,1990-06-06 00:00:00+00:00,877.4366666666666,,,,,,164.5,274.8541666666667,,,,,,,,0.9550000000000001,,False,
186315,SWC,1990-06-07 00:00:00+00:00,878.3295833333333,,,,,,339.4047619047619,312.9761904761905,,,,,,,,0.9058333333333334,,False,
186316,SWC,1990-06-08 00:00:00+00:00,877.2645833333332,,,,,,7.0,148.5,,,,,,,,,,False,
186317,SWC,1990-06-09 00:00:00+00:00,880.1245833333334,,,,,,99.16666666666667,268.9375,,,,,,,,0.98,,False,
186318,SWC,1990-06-10 00:00:00+00:00,884.0483333333333,,,,,,137.39583333333334,264.125,,,,,,,,0.9259999999999999,,False,
186319,SWC,1990-06-11 00:00:00+00:00,879.7629166666666,,,,,,334.0,303.1875,,,,,,,,0.8915384615384615,,False,
186320,SWC,1990-06-12 00:00:00+00:00,877.7025,,,,,,339.3958333333333,300.6041666666667,,,,,,,,0.8730769230769231,,False,
186321,SWC,1990-06-13 00:00:00+00:00,875.6745833333334,,,,,,290.4583333333333,284.9375,,,,,,,,0.893,,False,
186322,SWC,1990-06-14 00:00:00+00:00,878.3304166666667,,,,,,345.7916666666667,293.9375,,,,,,,,0.8538461538461538,,False,
186323,SWC,1990-06-15 00:00:00+00:00,872.2579166666668,,,,,,160.33333333333334,164.83333333333334,,,,,,,,,,False,
186324,SWC,1990-06-16 00:00:00+00:00,875.2441666666667,,,,,,86.4375,243.70833333333334,,,,,,,,0.95,,False,
186325,SWC,1990-06-17 00:00:00+00:00,878.9670833333333,,,,,,316.0416666666667,290.75,,,,,,,,0.8738461538461538,,False,
186326,SWC,1990-06-18 00:00:00+00:00,879.4695833333332,,,,,,231.95833333333334,278.0416666666667,,,,,,,,0.8571428571428571,,False,
186327,SWC,1990-06-19 00:00:00+00:00,878.7216666666667,,,,,,211.20833333333334,256.8958333333333,,,,,,,,0.93,,False,
186328,SWC,1990-06-20 00:00:00+00:00,881.4250000000001,,,,,,304.1666666666667,279.75,,,,,,,,0.8509090909090908,,False,
186329,SWC,1990-06-21 00:00:00+00:00,885.04,,,,,,337.5,287.875,,,,,,,,0.8284615384615385,,False,
186330,SWC,1990-06-22 00:00:00+00:00,885.4733333333334,,,,,,334.8541666666667,289.7291666666667,,,,,,,,0.8446153846153847,,False,
186331,SWC,1990-06-23 00:00:00+00:00,885.7975,,,,,,339.8333333333333,285.875,,,,,,,,0.8253846153846154,,False,
186332,SWC,1990-06-24 00:00:00+00:00,888.1666666666666,,,,,,338.5416666666667,285.3958333333333,,,,,,,,0.8284615384615385,,False,
186333,SWC,1990-06-25 00:00:00+00:00,889.07875,,,,,,343.7291666666667,287.2083333333333,,,,,,,,0.8207692307692308,,False,
186334,SWC,1990-06-26 00:00:00+00:00,885.09375,,,,,,348.4166666666667,288.625,,,,,,,,0.8130769230769231,,False,
186335,SWC,1990-06-27 00:00:00+00:00,884.6795833333334,,,,,,339.7916666666667,284.4791666666667,,,,,,,,0.823076923076923,,False,
186336,SWC,1990-06-28 00:00:00+00:00,885.0008333333334,,,,,,334.125,282.875,,,,,,,,0.8284615384615385,,False,
186337,SWC,1990-06-29 00:00:00+00:00,878.765,,,,,,341.8541666666667,286.0833333333333,,,,,,,,0.8207692307692308,,False,
186338,SWC,1990-06-30 00:00:00+00:00,881.90625,,,,,,328.6041666666667,275.0625,,,,,,,,0.8223076923076923,,False,
186339,SWC,1990-07-01 00:00:00+00:00,878.4945833333333,,,,,,310.5,273.1458333333333,,,,,,,,0.8507692307692308,,False,
186340,SWC,1990-07-02 00:00:00+00:00,876.5754166666667,,,,,,337.7916666666667,277.4166666666667,,,,,,,,0.8192307692307692,,False,
186341,SWC,1990-07-03 00:00:00+00:00,874.8791666666666,,,,,,256.8958333333333,262.5833333333333,,,,,,,,0.84375,,False,
186342,SWC,1990-07-04 00:00:00+00:00,879.4533333333334,,,,,,201.39583333333334,253.20833333333334,,,,,,,,0.8228571428571428,,False,
186343,SWC,1990-07-05 00:00:00+00:00,877.35,,,,,,324.0416666666667,281.1458333333333,,,,,,,,0.8507692307692308,,False,
186344,SWC,1990-07-06 00:00:00+00:00,868.9241666666667,,,,,,329.8125,278.0833333333333,,,,,,,,0.8292307692307692,,False,
186345,SWC,1990-07-07 00:00:00+00:00,871.9425000000001,,,,,,264.25,256.375,,,,,,,,0.8411111111111111,,False,
186346,SWC,1990-07-08 00:00:00+00:00,879.5104166666666,,,,,,94.52083333333333,233.08333333333334,,,,,,,,,,False,
186347,SWC,1990-07-09 00:00:00+00:00,878.7691666666666,,,,,,266.9583333333333,259.1041666666667,,,,,,,,0.9144444444444445,,False,
186348,SWC,1990-07-10 00:00:00+00:00,874.8075,,,,,,215.83333333333334,243.64583333333334,,,,,,,,0.98,,False,
