,stid,Datetime,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Downwelling longwave radiation,Upwelling longwave radiation,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Surface height from combined measurements,Surface height from combined measurements DELTA,Albedo,Cloud cover,Ablation,Melting Season
109800,NEM,2006-03-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109801,NEM,2006-03-30 00:00:00+00:00,,,,,0.0,,0.14285714285714285,0.0,,,,,,,,,,False,
109802,NEM,2006-03-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109803,NEM,2006-04-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109804,NEM,2006-04-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109805,NEM,2006-04-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109806,NEM,2006-04-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109807,NEM,2006-04-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109808,NEM,2006-04-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109809,NEM,2006-04-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109810,NEM,2006-04-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109811,NEM,2006-04-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109812,NEM,2006-04-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109813,NEM,2006-04-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109814,NEM,2006-04-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109815,NEM,2006-04-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109816,NEM,2006-04-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109817,NEM,2006-04-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109818,NEM,2006-04-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109819,NEM,2006-04-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109820,NEM,2006-04-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109821,NEM,2006-04-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109822,NEM,2006-04-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109823,NEM,2006-04-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109824,NEM,2006-04-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109825,NEM,2006-04-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109826,NEM,2006-04-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109827,NEM,2006-04-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109828,NEM,2006-04-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,
109829,NEM,2006-04-27 00:00:00+00:00,689.05,-24.580000000000002,75.748,0.4425,5.15,193.77999999999997,296.2,218.44400000000002,,,,0.3066666666666667,55.81333333333333,0.645,,0.62,,False,
109830,NEM,2006-04-28 00:00:00+00:00,687.7333333333332,-22.54541666666667,94.59541666666671,0.7020833333333333,7.501666666666665,255.3125,240.89166666666665,201.06916666666663,,,,-0.6233333333333338,16.510909090909095,0.86,0.0,0.83,,False,
109831,NEM,2006-04-29 00:00:00+00:00,691.75,-23.15291666666667,95.87208333333335,0.6645833333333333,5.835833333333334,239.06666666666663,238.5083333333333,200.82583333333332,,,,4.3133333333333335,28.30714285714286,0.87,0.02,0.84,,False,
109832,NEM,2006-04-30 00:00:00+00:00,699.1708333333332,-27.785,94.04958333333333,0.41875,4.92625,208.0041666666667,275.1083333333333,229.15166666666667,,,,4.9383333333333335,17.330555555555552,0.88,0.0,0.8374999999999999,,False,
109833,NEM,2006-05-01 00:00:00+00:00,696.2125,-28.051666666666673,90.29125,0.39499999999999996,6.151666666666667,190.94166666666672,286.02500000000003,238.26541666666662,,,,-1.2466666666666664,35.61666666666666,0.8795833333333333,0.0,0.83,,False,
